Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,105.0,109.0,105.0,106.0,106.0,386
2020-01-03,107.0,108.0,102.0,105.0,105.0,513
2020-01-06,105.0,106.0,103.0,106.0,106.0,394
2020-01-07,106.0,110.0,106.0,110.0,110.0,574
2020-01-08,110.0,110.0,108.0,109.0,109.0,661
2020-01-09,109.0,110.0,109.0,110.0,110.0,121
2020-01-10,108.0,109.0,108.0,108.0,108.0,728
2020-01-13,109.0,109.0,106.0,106.0,106.0,769
2020-01-14,107.0,108.0,105.0,105.0,105.0,502
2020-01-15,103.0,107.0,103.0,107.0,107.0,442
2020-01-16,108.0,109.0,107.0,107.0,107.0,257
2020-01-17,107.0,107.0,104.0,104.0,104.0,427
2020-01-20,105.0,105.0,103.0,103.0,103.0,233
2020-01-21,104.0,104.0,103.0,103.0,103.0,225
2020-01-22,104.0,104.0,102.0,102.0,102.0,82
2020-01-23,102.0,103.0,101.0,103.0,103.0,702
2020-01-24,103.0,103.0,103.0,103.0,103.0,475
2020-01-27,103.0,104.0,102.0,104.0,104.0,139
2020-01-28,102.0,105.0,102.0,102.0,102.0,72
2020-01-29,103.0,103.0,102.0,102.0,102.0,818
2020-01-30,102.0,103.0,101.0,101.0,101.0,366
2020-01-31,101.0,103.0,101.0,103.0,103.0,2
2020-02-03,103.0,104.0,103.0,103.0,103.0,80
2020-02-04,102.0,103.0,101.0,102.0,102.0,664
2020-02-05,102.0,102.0,102.0,102.0,102.0,67
2020-02-06,103.0,104.0,102.0,102.0,102.0,741
2020-02-07,103.0,103.0,103.0,103.0,103.0,44
2020-02-10,107.0,113.0,107.0,111.0,111.0,2664
2020-02-11,111.0,111.0,106.0,109.0,109.0,1012
2020-02-12,109.0,109.0,106.0,106.0,106.0,758
2020-02-13,107.0,109.0,106.0,109.0,109.0,322
2020-02-14,109.0,110.0,107.0,108.0,108.0,374
2020-02-17,110.0,110.0,107.0,107.0,107.0,388
2020-02-18,110.0,110.0,102.0,105.0,105.0,1194
2020-02-19,105.0,105.0,104.0,104.0,104.0,287
2020-02-20,104.0,107.0,102.0,105.0,105.0,952
2020-02-21,106.0,106.0,103.0,104.0,104.0,158
2020-02-24,104.0,104.0,102.0,102.0,102.0,196
2020-02-25,101.0,102.0,98.0,99.0,99.0,1173
2020-02-26,98.0,100.0,97.0,100.0,100.0,771
2020-02-27,101.0,101.0,97.0,97.0,97.0,631
2020-02-28,96.0,97.0,92.5,93.0,93.0,1126
2020-03-02,93.0,97.5,93.0,93.0,93.0,381
2020-03-03,97.5,101.0,95.0,101.0,101.0,697
2020-03-04,100.0,100.0,100.0,100.0,100.0,135
2020-03-05,100.0,100.0,97.0,97.0,97.0,547
2020-03-06,96.5,99.0,95.0,95.5,95.5,464
2020-03-09,90.0,93.0,86.0,93.0,93.0,1484
2020-03-10,94.0,95.5,92.0,94.5,94.5,787
2020-03-11,92.0,94.0,88.0,88.0,88.0,994
2020-03-12,86.5,92.5,84.5,84.5,84.5,428
2020-03-13,86.0,93.5,86.0,90.0,90.0,98
2020-03-16,85.0,85.5,80.5,81.0,81.0,1517
2020-03-17,82.0,84.5,82.0,84.5,84.5,113
2020-03-18,82.5,82.5,82.0,82.0,82.0,437
2020-03-19,83.0,83.0,80.0,81.0,81.0,227
2020-03-20,86.5,86.5,85.0,86.0,86.0,195
2020-03-23,85.0,85.0,84.0,84.0,84.0,595
2020-03-24,85.0,86.5,83.0,83.0,83.0,614
2020-03-25,85.0,85.0,83.5,84.0,84.0,1200
2020-03-26,84.0,84.0,81.5,82.0,82.0,361
2020-03-27,82.5,82.5,77.0,79.0,79.0,348
2020-03-30,80.0,81.5,79.5,80.5,80.5,362
2020-03-31,80.5,80.5,80.0,80.0,80.0,142
