Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-01-29,26.2,26.2,26.07,26.18,1003200,0.0,0
1993-02-01,26.2,26.37,26.2,26.37,480500,0.0,0
1993-02-02,26.35,26.44,26.3,26.43,201300,0.0,0
1993-02-03,26.46,26.72,26.44,26.71,529400,0.0,0
1993-02-04,26.8,26.87,26.5,26.82,531500,0.0,0
1993-02-05,26.8,26.85,26.65,26.8,492100,0.0,0
1993-02-08,26.8,26.89,26.76,26.8,596100,0.0,0
1993-02-09,26.71,26.71,26.56,26.61,122100,0.0,0
1993-02-10,26.61,26.67,26.54,26.65,379600,0.0,0
1993-02-11,26.69,26.89,26.69,26.78,19500,0.0,0
1993-02-12,26.74,26.74,26.58,26.58,42500,0.0,0
1993-02-16,26.5,26.5,25.87,25.9,374800,0.0,0
1993-02-17,25.9,25.94,25.79,25.89,210900,0.0,0
1993-02-18,26.18,26.18,25.51,25.87,378100,0.0,0
1993-02-19,25.87,25.96,25.83,25.96,34900,0.0,0
1993-02-22,26.04,26.09,25.96,26.05,513600,0.0,0
1993-02-23,26.13,26.15,25.9,26.04,373700,0.0,0
1993-02-24,26.05,26.37,26.05,26.37,26300,0.0,0
1993-02-25,26.35,26.44,26.3,26.43,44500,0.0,0
1993-02-26,26.48,26.48,26.33,26.46,66200,0.0,0
1993-03-01,26.56,26.56,26.35,26.39,66500,0.0,0
1993-03-02,26.41,26.78,26.37,26.78,182400,0.0,0
1993-03-03,26.82,26.91,26.78,26.89,280100,0.0,0
1993-03-04,26.93,26.93,26.74,26.74,89500,0.0,0
1993-03-05,26.78,26.89,26.65,26.67,40000,0.0,0
1993-03-08,26.72,27.26,26.72,27.26,50800,0.0,0
1993-03-09,27.21,27.23,27.12,27.17,169300,0.0,0
1993-03-10,27.17,27.23,27.06,27.23,194400,0.0,0
1993-03-11,27.25,27.32,27.12,27.15,70900,0.0,0
1993-03-12,26.93,26.95,26.71,26.87,643600,0.0,0
1993-03-15,26.85,27.0,26.85,27.0,310800,0.0,0
1993-03-16,27.0,27.08,27.0,27.0,30800,0.0,0
1993-03-17,26.97,26.97,26.8,26.84,21800,0.0,0
1993-03-18,26.95,27.12,26.95,27.0,59300,0.0,0
1993-03-19,27.11,27.11,26.96,26.96,66900,0.213,0
1993-03-22,26.7,26.87,26.68,26.81,183400,0.0,0
1993-03-23,26.89,26.91,26.83,26.87,55200,0.0,0
1993-03-24,26.83,26.98,26.7,26.87,37200,0.0,0
1993-03-25,26.89,27.09,26.85,27.04,110100,0.0,0
1993-03-26,27.02,27.04,26.87,26.89,101500,0.0,0
1993-03-29,26.91,27.13,26.91,27.0,87100,0.0,0
1993-03-30,27.04,27.07,27.0,27.07,56000,0.0,0
1993-03-31,27.15,27.22,27.06,27.06,111600,0.0,0
1993-04-01,27.09,27.09,26.91,26.96,129500,0.0,0
1993-04-02,26.74,26.74,26.4,26.4,59400,0.0,0
1993-04-05,26.61,26.61,26.46,26.53,172200,0.0,0
1993-04-06,26.59,26.59,26.38,26.46,129700,0.0,0
1993-04-07,26.49,26.55,26.44,26.55,28000,0.0,0
1993-04-08,26.66,26.66,26.4,26.51,180800,0.0,0
1993-04-12,26.78,26.91,26.74,26.89,348500,0.0,0
1993-04-13,26.87,27.04,26.85,26.94,146100,0.0,0
1993-04-14,26.96,26.98,26.89,26.91,119600,0.0,0
1993-04-15,26.89,26.96,26.79,26.91,148600,0.0,0
1993-04-16,26.93,26.96,26.87,26.91,47900,0.0,0
1993-04-19,26.91,26.98,26.78,26.79,157000,0.0,0
1993-04-20,26.76,26.79,26.49,26.66,279500,0.0,0
1993-04-21,26.72,26.72,26.57,26.64,67900,0.0,0
1993-04-22,26.53,26.76,26.31,26.31,97700,0.0,0
1993-04-23,26.25,26.33,26.16,26.2,106000,0.0,0
1993-04-26,26.21,26.31,25.91,25.99,62600,0.0,0
1993-04-27,25.95,26.27,25.95,26.27,156800,0.0,0
1993-04-28,26.23,26.29,26.18,26.21,85900,0.0,0
1993-04-29,26.27,26.33,26.12,26.33,85000,0.0,0
1993-04-30,26.42,26.51,26.36,26.36,88500,0.0,0
1993-05-03,26.4,26.53,26.29,26.53,80500,0.0,0
1993-05-04,26.59,26.72,26.55,26.63,149100,0.0,0
1993-05-05,26.63,26.79,26.63,26.7,109000,0.0,0
1993-05-06,26.66,26.68,26.59,26.61,54700,0.0,0
1993-05-07,26.63,26.63,26.51,26.55,68000,0.0,0
1993-05-10,26.59,26.76,26.59,26.61,113900,0.0,0
1993-05-11,26.61,26.72,26.53,26.72,42600,0.0,0
1993-05-12,26.61,26.7,26.61,26.68,31000,0.0,0
1993-05-13,26.57,26.57,26.35,26.36,129100,0.0,0
1993-05-14,26.36,26.44,26.33,26.35,63500,0.0,0
1993-05-17,26.42,26.44,26.31,26.44,34000,0.0,0
1993-05-18,26.46,26.48,26.33,26.42,105200,0.0,0
1993-05-19,26.42,26.96,26.25,26.96,50200,0.0,0
1993-05-20,26.96,27.04,26.91,27.04,98200,0.0,0
1993-05-21,27.06,27.09,26.78,26.79,221400,0.0,0
1993-05-24,26.85,27.0,26.85,26.91,30500,0.0,0
1993-05-25,27.02,27.02,26.96,26.96,191800,0.0,0
1993-05-26,27.04,27.32,27.02,27.3,102400,0.0,0
1993-05-27,27.34,27.34,27.17,27.21,53800,0.0,0
1993-05-28,27.19,27.19,26.94,27.07,79100,0.0,0
1993-06-01,27.17,27.43,27.13,27.34,28300,0.0,0
1993-06-02,27.26,27.39,27.15,27.3,20300,0.0,0
1993-06-03,27.24,27.24,27.15,27.21,21600,0.0,0
1993-06-04,27.13,27.13,27.0,27.11,32000,0.0,0
1993-06-07,27.17,27.17,27.02,27.02,121400,0.0,0
1993-06-08,26.94,26.94,26.78,26.78,104500,0.0,0
1993-06-09,26.87,26.98,26.83,26.87,43300,0.0,0
1993-06-10,26.85,26.91,26.79,26.89,17900,0.0,0
1993-06-11,26.98,27.04,26.89,27.0,647400,0.0,0
1993-06-14,27.04,27.06,26.96,26.96,64200,0.0,0
1993-06-15,27.0,27.02,26.91,26.91,142400,0.0,0
1993-06-16,26.91,26.96,26.83,26.96,330900,0.0,0
1993-06-17,27.02,27.06,26.96,27.06,37400,0.0,0
1993-06-18,27.04,27.04,26.83,26.83,58500,0.318,0
1993-06-21,26.91,26.91,26.85,26.89,29300,0.0,0
1993-06-22,26.93,26.93,26.87,26.91,137500,0.0,0
1993-06-23,26.91,26.91,26.66,26.66,227600,0.0,0
1993-06-24,26.74,27.02,26.74,27.02,243700,0.0,0
1993-06-25,27.0,27.08,26.98,27.0,44800,0.0,0
1993-06-28,27.13,27.3,27.1,27.3,439900,0.0,0
1993-06-29,27.27,27.27,27.13,27.17,207500,0.0,0
1993-06-30,27.21,27.27,27.13,27.17,437600,0.0,0
1993-07-01,27.21,27.21,27.06,27.1,605700,0.0,0
1993-07-02,27.0,27.02,26.85,26.95,285400,0.0,0
1993-07-06,26.91,26.98,26.63,26.66,246400,0.0,0
1993-07-07,26.64,26.78,26.64,26.74,343700,0.0,0
1993-07-08,26.76,27.1,26.72,27.04,248200,0.0,0
1993-07-09,27.04,27.12,26.98,27.12,378200,0.0,0
1993-07-12,27.08,27.12,27.04,27.1,373700,0.0,0
1993-07-13,27.12,27.19,26.93,27.08,389600,0.0,0
1993-07-14,27.1,27.25,27.08,27.17,617300,0.0,0
1993-07-15,27.15,27.15,27.0,27.06,443800,0.0,0
1993-07-16,27.08,27.1,26.95,26.98,216400,0.0,0
1993-07-19,26.98,26.98,26.89,26.97,188200,0.0,0
1993-07-20,26.95,27.04,26.81,27.04,68500,0.0,0
1993-07-21,27.0,27.02,26.93,27.02,142700,0.0,0
1993-07-22,26.98,27.02,26.83,26.83,632400,0.0,0
1993-07-23,26.89,26.97,26.87,26.97,286200,0.0,0
1993-07-26,27.04,27.17,27.04,27.12,121300,0.0,0
1993-07-27,27.13,27.15,27.0,27.1,92800,0.0,0
1993-07-28,27.04,27.1,27.0,27.04,30800,0.0,0
1993-07-29,27.1,27.27,27.06,27.19,331000,0.0,0
1993-07-30,27.19,27.19,27.0,27.04,75300,0.0,0
1993-08-02,27.08,27.21,27.08,27.12,41300,0.0,0
1993-08-03,27.17,27.25,27.04,27.13,81600,0.0,0
1993-08-04,27.13,27.19,27.06,27.13,434000,0.0,0
1993-08-05,27.13,27.13,27.04,27.08,36800,0.0,0
1993-08-06,27.15,27.17,27.08,27.12,402300,0.0,0
1993-08-09,27.19,27.34,27.13,27.27,828200,0.0,0
1993-08-10,27.25,27.27,27.21,27.25,604900,0.0,0
1993-08-11,27.23,27.32,27.23,27.25,542200,0.0,0
1993-08-12,27.32,27.32,27.08,27.17,303700,0.0,0
1993-08-13,27.19,27.23,27.19,27.21,103500,0.0,0
1993-08-16,27.23,27.44,27.23,27.36,241800,0.0,0
1993-08-17,27.34,27.46,27.34,27.46,369300,0.0,0
1993-08-18,27.55,27.66,27.53,27.61,414300,0.0,0
1993-08-19,27.62,27.62,27.57,27.61,28500,0.0,0
1993-08-20,27.55,27.62,27.53,27.62,80700,0.0,0
1993-08-23,27.51,27.59,27.51,27.57,15600,0.0,0
1993-08-24,27.57,27.87,27.57,27.87,273400,0.0,0
1993-08-25,27.87,28.0,27.83,27.89,242300,0.0,0
1993-08-26,27.91,28.06,27.79,27.91,120000,0.0,0
1993-08-27,27.83,27.89,27.83,27.89,25700,0.0,0
1993-08-30,27.91,28.04,27.91,28.0,183500,0.0,0
1993-08-31,27.98,28.08,27.95,28.08,66500,0.0,0
1993-09-01,27.98,28.1,27.98,28.04,136500,0.0,0
1993-09-02,28.06,28.1,27.93,27.95,472400,0.0,0
